"","totphys_3m","totnonphys_3m","totwork_3m","totschool_3m","totother_3m","tothome_3m","totcon_all_3m","AGE_I","GENDER_I","INCOME_I","RACE_ETHNICITY_I","totphys","totnonphys","totwork","totschool","totother","tothome","totcon_all","WTFinal_US_M3_AbIGg"
"1",1,2,0,0,1,2,3,6,1,6,2,1,2,0,0,2,1,3,54109.0590397888
"2",4,0,0,0,0,4,4,2,2,3,3,6,1,0,0,1,6,7,364011.324313956
"3",5,4,0,0,4,5,9,5,1,6,2,3,6,0,0,6,3,9,55807.3233239448
"4",2,2,0,0,4,0,4,5,1,6,2,0,2,0,0,2,0,2,46635.2658818798
"5",0,1,0,0,0,1,1,4,2,6,2,1,0,0,0,0,1,1,38021.9518633931
"6",0,1,0,0,1,0,1,3,2,5,2,1,3,0,0,4,0,4,53672.0608752985
"7",0,6,6,0,0,0,6,6,2,3,2,0,5,5,0,0,0,5,123399.647082596
"8",1,0,0,0,0,1,1,6,1,3,2,1,1,0,0,1,1,2,21122.851442336
"9",1,0,0,0,0,1,1,6,1,6,2,0,1,0,0,0,1,1,18443.6369449211
"10",0,1,1,0,0,0,1,4,1,8,2,0,0,0,0,0,0,0,129991.336772974
"11",0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,77436.8495450611
"12",0,0,0,0,0,0,0,6,1,5,2,0,1,0,0,0,1,1,336105.589868229
"13",2,0,0,0,0,2,2,5,2,3,2,1,0,0,0,0,1,1,142352.919679542
"14",2,0,0,0,0,2,2,3,2,4,4,2,0,0,0,0,2,2,98983.0643562624
"15",1,0,0,0,0,1,1,5,2,1,2,1,0,0,0,0,1,1,133488.254893382
"16",0,10,0,0,10,0,10,5,2,3,2,0,5,0,0,5,0,5,25676.9550340999
"17",0,0,0,0,0,0,0,4,2,6,2,6,41,46,0,0,1,47,37833.7923086166
"18",1,2,1,0,0,2,3,4,2,7,2,2,3,0,0,5,0,5,161534.30649157
"19",8,3,0,0,0,11,11,2,2,2,2,7,10,0,0,10,7,17,81684.7101541324
"20",1,0,0,0,0,1,1,6,1,5,2,1,0,0,0,0,1,1,19012.9443766639
"21",7,0,0,0,0,7,7,2,1,3,2,5,2,2,0,0,5,7,230472.284594723
"22",1,2,0,0,2,1,3,4,1,8,1,0,1,0,0,1,0,1,428450.499839829
"23",1,0,0,0,0,1,1,6,1,6,2,1,0,0,0,0,1,1,195019.714813798
"24",1,2,0,0,2,1,3,5,2,6,2,1,1,0,0,0,2,2,51629.0857659355
"25",2,17,0,0,15,4,19,5,2,3,2,4,1,0,0,1,4,5,142352.919679542
"26",3,0,0,0,0,3,3,3,2,6,2,3,9,0,0,9,3,12,74122.98479219
"27",0,11,0,0,10,1,11,4,2,8,2,4,3,0,0,3,4,7,178761.692056438
"28",3,0,0,0,0,3,3,3,1,6,2,3,2,0,0,2,3,5,301748.391710554
"29",2,0,0,0,1,1,2,4,2,6,2,14,0,0,0,0,14,14,73528.9523347493
"30",3,3,0,0,3,3,6,3,2,6,2,8,7,11,0,0,4,15,49680.3552869555
"31",4,7,6,0,0,5,11,2,1,6,2,10,0,0,0,6,4,10,197253.34049533
"32",2,4,0,0,6,0,6,6,2,3,2,2,1,0,0,0,3,3,299339.885907448
"33",5,4,3,0,2,4,9,5,1,4,2,3,8,8,0,3,0,11,81605.5148103675
"34",5,1,0,0,2,4,6,3,2,1,2,0,1,0,0,0,1,1,20640.9601304884
"35",3,1,0,0,0,4,4,3,2,3,2,2,4,3,0,0,3,6,121565.681727042
"36",14,0,0,0,9,5,14,4,1,6,2,4,11,0,0,7,8,15,40435.1014187876
"37",6,3,0,0,0,9,9,4,1,7,3,3,0,0,0,0,3,3,408032.638002313
"38",1,11,10,0,0,2,12,2,2,4,2,1,5,5,0,0,1,6,58423.9842184866
"39",1,0,0,0,0,1,1,4,2,3,2,1,0,0,0,0,1,1,73631.2684459317
"40",0,2,0,0,2,0,2,4,2,8,2,2,15,15,0,0,2,17,189654.336324428
"41",0,2,0,0,2,0,2,5,2,5,3,0,0,0,0,0,0,0,72948.3130537402
"42",6,0,0,0,0,6,6,4,1,5,2,1,14,11,0,2,2,15,92706.0215294342
"43",1,2,0,0,2,1,3,6,2,2,2,16,10,0,0,26,0,26,42940.1001389558
"44",0,3,0,0,3,0,3,5,2,3,2,0,2,0,0,2,0,2,60954.4895733083
"45",0,0,0,0,0,0,0,6,1,2,2,1,0,0,0,0,1,1,292875.34687574
"46",3,1,0,0,0,4,4,3,2,7,2,2,0,0,0,0,2,2,32197.2202339242
"47",1,5,1,0,4,1,6,4,2,5,2,1,8,2,0,3,4,9,60269.8819983013
"48",1,0,0,0,0,1,1,6,1,6,2,1,0,0,0,0,1,1,51970.0816910407
"49",0,0,0,0,0,0,0,6,2,2,2,1,3,0,0,3,1,4,154001.28997415
"50",4,0,0,0,0,4,4,5,1,5,2,0,5,0,0,1,4,5,25198.480769724
"51",0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,153604.359044416
"52",7,5,6,2,0,4,12,3,2,8,2,4,0,0,0,0,4,4,195313.111155427
"53",5,30,17,0,2,16,35,5,2,3,2,6,20,0,0,26,0,26,13520.5818438087
"54",1,0,0,0,0,1,1,3,1,3,2,1,0,0,0,0,1,1,25848.2931258368
"55",0,0,0,0,0,0,0,4,2,5,2,0,4,0,0,4,0,4,23726.1302067453
"56",1,5,0,0,0,6,6,4,2,8,2,1,1,0,0,1,1,2,253416.855462057
"57",3,0,0,0,2,1,3,1,2,6,2,15,18,0,3,20,10,33,270083.185507543
"58",1,1,0,0,0,2,2,5,2,6,2,1,0,0,0,0,1,1,168189.684486671
"59",0,0,0,0,0,0,0,6,2,3,2,0,0,0,0,0,0,0,3238.25594841509
"60",2,1,0,0,1,2,3,6,1,2,2,2,0,0,0,0,2,2,21940.9268218364
"61",0,1,0,0,0,1,1,5,1,2,2,0,1,0,0,0,1,1,29359.6804289704
"62",2,3,0,0,3,2,5,4,2,7,2,5,25,0,0,0,30,30,68707.9641597939
"63",4,0,0,0,0,4,4,2,1,6,2,9,4,0,0,4,9,13,122836.595643959
"64",0,0,0,0,0,0,0,6,1,7,2,0,0,0,0,0,0,0,142535.433173356
"65",0,6,0,0,5,1,6,5,1,2,2,0,4,0,0,0,4,4,241339.674238353
"66",5,5,0,0,10,0,10,6,2,3,3,0,1,0,0,0,1,1,120562.856340658
"67",5,3,0,0,5,3,8,4,1,8,2,3,37,0,0,34,6,40,112826.948165255
"68",6,8,0,0,11,3,14,2,2,4,2,12,11,0,0,11,12,23,165289.73775646
"69",1,0,0,0,0,1,1,6,1,4,2,1,0,0,0,0,1,1,30735.754614758
"70",7,3,0,0,8,2,10,5,2,7,2,1,1,0,0,1,1,2,48007.1180958454
"71",60,2,0,0,21,41,62,1,2,1,4,3,2,0,0,0,5,5,533968.645704513
"72",2,1,0,0,1,2,3,6,1,5,2,4,2,0,0,1,5,6,9816.54975217356
"73",1,12,7,0,4,2,13,2,2,5,2,0,0,0,0,0,0,0,67034.3614504287
"74",1,0,0,0,0,1,1,5,1,6,2,1,1,0,0,1,1,2,44999.7713802107
"75",1,30,30,0,0,1,31,1,2,4,2,2,10,0,0,12,0,12,134222.981039511
"76",6,5,0,0,6,5,11,3,1,6,2,12,15,24,0,0,3,27,221093.62998104
"77",0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,31860.4155221991
"78",3,0,0,0,0,3,3,4,1,8,2,3,14,14,0,0,3,17,112826.948165255
"79",0,2,0,0,2,0,2,6,2,2,2,1,0,0,0,1,0,1,50763.2692418264
"80",1,8,8,0,0,1,9,6,1,4,2,1,2,0,0,2,1,3,63891.1374599018
"81",2,0,0,0,0,2,2,6,2,2,2,2,5,0,0,5,2,7,243216.745589732
"82",1,0,0,0,0,1,1,6,1,4,2,1,0,0,0,0,1,1,15578.7689094531
"83",1,0,0,0,0,1,1,6,1,8,2,1,0,0,0,0,1,1,94021.6115764588
"84",1,3,0,0,3,1,4,2,2,1,2,0,1,0,0,1,0,1,10641.4965279312
"85",0,1,1,0,0,0,1,5,1,7,2,0,0,0,0,0,0,0,143385.674564015
"86",4,3,0,0,1,6,7,3,1,6,2,9,0,0,0,0,9,9,221093.62998104
"87",1,3,2,0,1,1,4,5,1,3,1,0,3,0,0,2,1,3,156007.156425209
"88",15,4,0,0,14,5,19,3,2,4,2,60,52,65,0,40,7,112,404993.00261103
"89",2,0,0,0,0,2,2,2,2,8,2,2,3,0,2,1,2,5,135803.354113782
"90",3,0,0,0,0,3,3,1,2,5,2,37,15,30,0,19,3,52,83589.6889993269
"91",1,27,27,0,0,1,28,6,2,7,2,1,0,0,0,0,1,1,62417.9238366935
"92",1,3,0,0,4,0,4,5,2,3,2,1,1,0,0,2,0,2,60241.4247119904
"93",6,11,10,0,5,2,17,3,2,2,2,68,43,106,0,0,5,111,360755.681184505
"94",2,6,0,0,8,0,8,6,1,6,2,0,0,0,0,0,0,0,33695.6149348611
"95",5,0,0,0,0,5,5,5,1,6,2,3,0,2,0,0,1,3,110755.860092002
"96",0,202,200,0,1,1,202,5,2,3,3,0,3,0,0,1,2,3,99043.3197364778
"97",3,0,0,0,0,3,3,2,2,1,3,0,0,0,0,0,0,0,60233.6645626692
"98",2,5,5,0,2,0,7,4,2,7,2,0,1,0,0,0,1,1,54936.4464515548
"99",3,1,0,0,1,3,4,4,1,7,2,3,2,1,0,1,3,5,99361.8769773944
"100",0,2,0,0,2,0,2,6,2,3,2,0,0,0,0,0,0,0,41475.6387421452
"101",16,37,30,0,22,1,53,2,2,4,2,10,11,16,0,1,4,21,58737.7733527845
"102",2,5,0,0,5,2,7,2,2,4,2,10,73,79,0,0,4,83,138498.917561951
"103",1,4,4,0,0,1,5,6,1,5,2,7,6,0,0,12,1,13,7451.03864454674
"104",5,0,1,0,3,1,5,5,1,4,2,5,2,2,0,2,3,7,529138.919906015
"105",4,3,0,0,3,4,7,3,2,6,2,7,15,7,6,4,5,22,134948.460882131
"106",3,8,0,0,8,3,11,3,2,4,2,4,4,0,0,4,4,8,78369.1564041681
"107",77,1,0,0,0,78,78,6,2,4,2,1,0,0,0,0,1,1,27309.9012023546
"108",0,0,0,0,0,0,0,5,1,3,2,0,0,0,0,0,0,0,73046.8973439172
"109",3,0,0,0,0,3,3,6,2,6,2,7,6,0,0,6,7,13,406226.890313349
"110",3,2,3,0,0,2,5,2,2,7,2,5,0,0,0,4,1,5,147403.354902034
"111",0,0,0,0,0,0,0,6,2,3,2,0,0,0,0,0,0,0,14088.7261505038
"112",3,0,0,0,0,3,3,3,1,8,2,3,1,0,1,0,3,4,206665.668236195
"113",3,32,31,0,0,4,35,5,2,6,2,0,1,0,0,0,1,1,108981.262453651
"114",0,1,0,0,1,0,1,6,1,2,2,0,0,0,0,0,0,0,11933.7347446845
"115",0,1,0,0,0,1,1,6,2,3,2,0,0,0,0,0,0,0,148307.049207538
"116",1,17,0,0,17,1,18,4,2,5,2,0,1,0,0,0,1,1,24398.6941035416
"117",1,0,0,0,0,1,1,2,2,5,2,4,2,0,0,6,0,6,69787.668071339
"118",4,1,0,1,0,4,5,3,2,8,2,4,2,0,0,2,4,6,15367.3623477598
"119",2,0,0,0,1,1,2,6,1,8,2,0,1,0,0,1,0,1,539957.475859467
"120",2,6,6,0,0,2,8,6,2,3,2,0,3,3,0,0,0,3,24617.7224978222
"121",1,1,1,0,0,1,2,4,2,4,2,1,4,4,0,0,1,5,48032.3205621404
"122",2,4,0,0,3,3,6,6,2,5,2,3,1,0,0,0,4,4,18925.3222398352
"123",0,0,0,0,0,0,0,3,2,3,2,5,4,4,0,0,5,9,20121.453946052
"124",3,20,14,0,2,7,23,6,1,5,2,24,20,2,7,20,15,44,24474.2114625847
"125",2,3,0,0,3,2,5,2,1,5,2,7,20,0,0,26,1,27,92425.0663507484
"126",2,2,0,0,1,3,4,3,2,6,2,1,0,0,0,0,1,1,51380.0902183053
"127",14,3,6,0,10,1,17,3,1,8,2,11,10,8,0,9,4,21,268031.5293261
"128",2,3,0,0,0,5,5,2,1,3,2,3,0,0,0,0,3,3,68325.8697950199
"129",0,1,0,0,0,1,1,5,2,6,2,1,2,0,0,2,1,3,99695.4173751796
"130",1,1,0,0,0,2,2,2,1,2,2,1,4,3,0,0,2,5,60794.3052279053
"131",0,64,60,0,2,2,64,5,2,4,2,0,50,50,0,0,0,50,54429.9975094729
"132",1,1,0,0,0,2,2,5,2,5,2,1,1,0,0,1,1,2,252507.009831835
"133",2,4,0,0,4,2,6,2,1,3,2,2,2,0,0,2,2,4,41214.0545283305
"134",5,2,0,0,2,5,7,6,1,4,2,4,1,0,0,5,0,5,24527.5100271867
"135",1,2,0,0,0,3,3,6,2,2,2,1,0,0,0,0,1,1,53726.9441000382
"136",1,0,0,0,0,1,1,2,2,2,2,1,0,0,0,0,1,1,25220.6793309046
"137",10,15,0,0,25,0,25,6,1,6,2,1,2,0,0,0,3,3,84729.3484580244
"138",3,5,0,0,0,8,8,6,1,4,2,3,0,0,0,0,3,3,539957.475859467
"139",0,5,3,0,1,1,5,6,1,4,2,1,9,8,0,0,2,10,503966.754024673
"140",6,2,1,0,4,3,8,1,2,8,2,4,1,0,0,3,2,5,421584.892117383
"141",2,1,0,0,3,0,3,4,1,5,2,4,5,0,0,7,2,9,97333.632582297
"142",6,6,11,0,0,1,12,5,1,8,4,3,2,0,0,3,2,5,236805.344069727
"143",1,2,0,0,3,0,3,6,2,5,2,0,3,0,0,3,0,3,36504.5025852056
"144",1,2,0,0,3,0,3,6,1,6,2,0,2,0,0,2,0,2,27594.3903864369
"145",0,0,0,0,0,0,0,5,2,3,3,63,32,85,0,10,0,95,127721.552923679
